Date,Open,High,Low,Close,Adj Close,Volume
2018-11-16,24350.000000,24900.000000,24300.000000,24825.000000,24743.998047,26829100
2018-11-19,25000.000000,25400.000000,24900.000000,25100.000000,25018.099609,20764500
2018-11-20,25100.000000,25100.000000,25100.000000,25100.000000,25018.099609,0
2018-11-21,25000.000000,25050.000000,24775.000000,24800.000000,24719.080078,21577800
2018-11-22,24700.000000,25200.000000,24700.000000,25100.000000,25018.099609,17454000
2018-11-23,25300.000000,25450.000000,24875.000000,25100.000000,25018.099609,11492000
2018-11-26,24800.000000,25400.000000,24800.000000,25225.000000,25142.693359,12867300
2018-11-27,25200.000000,25500.000000,25000.000000,25500.000000,25416.794922,14797800
2018-11-28,25625.000000,25625.000000,25400.000000,25450.000000,25366.958984,18137500
2018-11-29,25500.000000,26200.000000,25500.000000,26200.000000,26114.511719,22769500
2018-11-30,26200.000000,26200.000000,25775.000000,26050.000000,25965.000000,35606900
2018-12-03,26075.000000,26975.000000,25500.000000,25800.000000,25800.000000,20184600
2018-12-04,25800.000000,26475.000000,25775.000000,26200.000000,26200.000000,23846500
2018-12-05,25600.000000,26150.000000,25575.000000,26150.000000,26150.000000,14998800
2018-12-06,25850.000000,26300.000000,25600.000000,26300.000000,26300.000000,15090000
2018-12-07,25950.000000,26050.000000,25800.000000,25950.000000,25950.000000,14214000
2018-12-10,25600.000000,26025.000000,25600.000000,25900.000000,25900.000000,16244200
2018-12-11,25650.000000,26000.000000,25625.000000,25800.000000,25800.000000,18603400
2018-12-12,25950.000000,25950.000000,25650.000000,25825.000000,25825.000000,24324600
2018-12-13,26000.000000,26025.000000,25725.000000,25825.000000,25825.000000,16856100
2018-12-14,25800.000000,25900.000000,25700.000000,25825.000000,25825.000000,36887000
